,Title,Company Name,Location,Start Date,Duration,Stipend,Status,Links
64,Search Engine Optimization (SEO),Pereyan LLP,[['Bangalore']],Immediately,Starts immediatelyImmediately,"₹ 10,000-15,000 /month",2 days ago,https://internshala.com/internship/detail/search-engine-optimization-seo-internship-in-bangalore-at-pereyan-llp1709804208
65,Data Analytics,Kraftors Web Solutions Private limited,[['Lucknow']],Immediately,Starts immediatelyImmediately,"₹ 7,000 /month",2 days ago,https://internshala.com/internship/detail/data-analytics-internship-in-lucknow-at-kraftors-web-solutions-private-limited1709803793
66,Blockchain Development,Buddha Education Association Incorporation,"[['Noida', 'Mumbai', 'Delhi', 'Dehradun', 'Faridabad', 'Chennai', 'Surat', 'Udaipur', 'Pune', 'Patna', 'Kolkata', 'Gurgaon', 'Ghaziabad', 'Hyderabad', 'Bangalore']]",Immediately,Starts immediatelyImmediately,"₹ 18,000 /month",2 days ago,https://internshala.com/internship/detail/part-time-blockchain-development-internship-in-multiple-locations-at-buddha-education-association-incorporation1709802448
67,Artificial Intelligence (AI),Buddha Education Association Incorporation,"[['Goa Velha', 'Bangalore', 'Mumbai', 'Jaipur', 'Coimbatore', 'Delhi', 'Gurgaon', 'Kolkata', 'Patna', 'Pune', 'Chennai', 'Ranchi', 'Udaipur', 'Noida', 'Nagpur']]",Immediately,Starts immediatelyImmediately,"₹ 25,000 /month",2 days ago,https://internshala.com/internship/detail/artificial-intelligence-ai-internship-in-multiple-locations-at-buddha-education-association-incorporation1709802365
68,Machine Learning,Buddha Education Association Incorporation,"[['Gwalior West', 'Nashik', 'Bhopalgarh', 'Jaipur', 'Nagpur', 'Mumbai', 'Bhopal', 'Bangalore', 'Satna', 'Surat', 'Pune', 'Ahmedabad', 'Chennai', 'Indore']]",Immediately,Starts immediatelyImmediately,"₹ 25,000 /month",2 days ago,https://internshala.com/internship/detail/part-time-machine-learning-internship-in-multiple-locations-at-buddha-education-association-incorporation1709802350
69,Artificial Intelligence (AI),Shubh International,"[['Pune', 'Ranchi', 'Udaipur', 'Bangalore', 'Vadodara', 'Nagpur', 'Nashik', 'Mumbai', 'Jaipur', 'Noida', 'Ahmedabad', 'Amritsar', 'Chandigarh', 'Delhi', 'Gurgaon']]",Immediately,Starts immediatelyImmediately,"₹ 8,000-10,000 /month",2 days ago,https://internshala.com/internship/detail/part-time-artificial-intelligence-ai-internship-in-multiple-locations-at-shubh-international1709802115
70,STEM And Robotics Educator,RoboLectro STEAM Studio,[['Bangalore']],Immediately,Starts immediatelyImmediately,"₹ 15,000 /month",2 days ago,https://internshala.com/internship/detail/part-time-stem-and-robotics-educator-internship-in-bangalore-at-robolectro-steam-studio1709796162
71,Financial Analyst,Arcatron Mobility Private Limited,[['Pune']],Immediately,Starts immediatelyImmediately,"₹ 15,000 /month",2 days ago,https://internshala.com/internship/detail/financial-analyst-internship-in-pune-at-arcatron-mobility-private-limited1709793908
72,Data Entry And Analysis,Smollan India Private Limited,[['Work From Home']],Immediately,Starts immediatelyImmediately,"₹ 5,000 /month +  Incentives",2 days ago,https://internshala.com/internship/detail/work-from-home-data-entry-and-analysis-internship-at-smollan-india-private-limited1709792886
73,Business Development (Sales),Qubit Capital,[['Work From Home']],Immediately,Starts immediatelyImmediately,"₹ 4,000 /month +  Incentives",2 days ago,https://internshala.com/internship/detail/work-from-home-business-development-sales-internship-at-qubit-capital1709790917
